Road,Number_of_Parking_Space,Hours_per_sheet,Space_efficiency,Road_Start,Road_End
 立功路,50.38390805,3.251458667,35.90%,大度路三段,立德路120巷
愛國東路,106.7827586,1.509644521,15.30%,杭州南路,金山南路
愛國西路,8.90747782,1.804024333,34.30%,重慶南路,公園路
安東街,5.075862069,1.726792009,30.70%,八德路2段,市民大道
安東街16巷,58.46896552,2.048884143,14.20%,八德路2段210巷,安東街
安東街40巷,26.55632184,2.07620118,24.60%,安東街,忠孝東路三段251巷
安和路二段,77.68514056,2.143449662,22.70%,信義路,和平東路
安和路二段74巷,12.5716129,2.027601978,30.10%,敦化南路二段63巷,安和路二段
安和路一段127巷含29弄,83.73563218,2.157632169,13.60%,安和路一段127巷,仁愛路4段266巷13弄
安和路一段A,42.85830619,2.008174477,26.70%,仁愛路,信義路
安和路一段B(累進計時),18.7323601,1.745393864,29.80%,敦化南路,仁愛路
安康平面停車場,202.7446458,1.856536797,17.70%,,
安美街,42.07142857,1.627118644,9.50%,安美街,潭美街
安西街,24.66206897,1.672776646,17.20%,涼州街口,民權西路
安祥平面停車場,9.750574713,2.122470459,40.20%,,
八德路2段174巷含11弄,26.38275862,1.825195603,12.40%,八德路2段,市民大道
八德路2段199巷,19.11724138,1.677452944,19.40%,長安東路2段,八德路2段
八德路2段210巷,46.98474946,1.407126691,9.50%,八德路2段,市民大道
八德路2段218巷,36.07126437,1.805966344,13.90%,八德路2段,安東街16巷
八德路二段167巷,12.3908046,1.807624113,20.40%,八德路二段,長安東路
八德路二段451巷,19.3880049,1.984252989,29.70%,八德路二段,敦化北路4巷
八德路二段451巷,19.3880049,1.984252989,29.70%,八德路2段,敦化北路4巷
八德路二段臨時平面,4.539700806,1.964532156,45.10%,市民大道三段,八德路二段
八德路二段A,14.69606513,1.597779407,21.70%,復興北路,敦化北路
八德路二段B,30.85516507,1.185166994,12.80%,復興北路,市民大道三段
八德路三段,27.25253256,1.393285145,15.10%,敦化北路,光復南北路
八德路四段,21.50206441,1.56432727,19.30%,東興路,光復北路
八德路四段17巷,3.725806452,2.468453894,50.80%,光復北路11巷,八德路四段  
八德路一段,22.4288425,0.775769643,6.10%,忠孝東路2段,新生北路1段
八德路一段43巷,8.700598802,1.283172344,8.90%,金山北路,八德路一段
八德路一段43巷(機車),179.2365385,0.805847707,10.80%,金山北路,八德路一段43巷
八德路一段北側,27.46780303,0.806388314,12.80%,金山北路,新生北路
百齡槌球場,426.3799076,0.410616569,1.30%,通河西街一段旁堤外,百齡橋以南
百齡堤外停車場A,504.2974537,0.421647101,1.40%,通河西街旁堤外,百齡橋以北
百齡堤外停車場B,154.5641026,0.530839388,1.30%,通河西街旁堤外,百齡橋以北（最北）
百齡橋堤外足球場,23.76,1,20.20%,百齡橋堤外足球場,百齡橋堤外足球場
保安街,30.9178744,1.536263428,21.40%,重慶北路二段,延平北路
寶興街,106.7988506,1.931483586,19.00%,西藏路,萬大路424巷
北安路,72.43340381,1.16359007,22.70%,北安路554巷,大直街
北安路458巷41弄,109.9067961,1.47654758,21.00%,北安路,大直橋邊
北安路458巷47弄,162.6528736,1.509921585,14.50%,北安路458巷41弄,大直橋下
北安路554巷,23.45977011,1.35655689,28.00%,北安路,北安路554巷8弄
北安路770巷,64.73103448,1.880318918,9.60%,敬業一路,北安路
北寧路,10.49529512,1.990788692,54.60%,南京東路,八德路
北平東路,143.8294993,1.76720065,11.60%,中山北路,杭州北路
北平西路（逸仙公園南側）,142.8333333,1,5.90%,中山北路,逸仙公園無名巷
北平西路A,197.5437788,1,8.20%,重慶北路,延平北路
北投磺港溪廣場,49.7456847,1.029049313,31.00%,光明路,公館路-磺港路
北投路1段,161.92,1,5.00%,大興街,公館路
北投路2段,81.16,1,5.80%,大業街,大興街
濱江街,88.35257732,1.509309369,8.90%,新生北路3段,松江路
濱江街路邊停車場,239.0474537,0.79018949,1.20%,大直橋,撫遠街403巷
濱江街路邊停車場A,97.40322581,0.783221664,3.30%,大直橋,撫遠街403巷
濱江橋下停車場,15.73281453,2.127601889,13.80%,濱江街230號,濱江街248號
博愛路A（計時）,51.67205543,1.399230495,19.70%,愛國西路,植物園
博愛路B（含機車）,108.3740648,1.019071136,11.20%,忠孝西路,衡陽路
博愛路C（累進計時）,106.9383003,1.463760553,9.20%,忠孝西路,愛國西路
昌吉街,53.60577674,1.623791053,17.50%,承德路,環河北路
常德街（機車計次）,119.862069,1,32.10%,中山南路,公園路
潮州街,34.5862069,1.942179692,24.50%,羅斯福路,金山南路
成都路A,36.57931034,2.367120288,23.80%,康定路,環河南路
成都路B,134.907455,1.014950325,19.00%,康定路,中華路
成福路,24.30555556,2.234972678,17.50%,同德路,福德街
成功路1段,91.4,1.839389152,7.30%,南港路3段,成功路1段94巷
成功路2段,71.01492537,1.773815931,17.30%,成功路3段6巷,潭美街
成功路3段,64.70149254,1.779968276,11.30%,文德路,成功路3段6巷
成功路三段,28.65747126,1.475291677,38.00%,康寧路一段,文德路
成功路四段,90.84119107,1.452349952,10.90%,康寧路一段,大湖街158巷
成功路五段,184.3057471,1.555500243,11.00%,大湖街158巷,成功路五段420巷
承德堤外,684.5090909,0.289741502,0.80%,基隆河左岸承德橋下堤外,
承德路二段75巷,13.5036855,2.52883204,27.40%,承德路二段,赤峰街
承德路二段91巷,7.84295612,2.451973001,34.80%,承德路2段,赤峰街
承德路二段A,106.4833977,1.219288649,9.90%,民權西路,南京西路
承德路二段B,18.09018568,0.959804339,12.40%,民生西路,南京西路
承德路六段,359.2941176,0.404115202,1.40%,基河路,文林北路
承德路七段,163.937931,0.371465646,2.00%,大業路,文林北路
承德路三段,65.45140562,1.33916604,12.80%,民權西路,敦煌路
承德路三段208巷,28.44942529,1.542598653,20.20%,承德路三段,大龍街
承德路三段283巷,14.50344828,1.469354685,30.50%,承德路三段,庫倫街61巷
承德路三段285巷,82.96,1.960876369,15.10%,哈密街,承德路3段283巷
承德路四段179巷含機車,121.6227599,1.160297639,10.80%,基河路,承德路四段
承德路四段195巷含機車,83.05801105,1.279901849,15.50%,基河路,承德路四段
承德路四段58巷,25.94074074,1.879837067,16.50%,承德路四段,劍潭路
承德路四段77巷,5.3138833,1.088298636,17.70%,基河路,承德路四段
承德路四段A,81.75101709,1.538865251,15.50%,中正路,通河街
承德路四段B含機車,30.51752678,1.469415032,14.00%,大南路,劍潭路
承德路一段,7.679012346,0.080223881,1.00%,市民大道,南京西路
崇德街,16.66,2.079002079,30.00%,基隆路,富陽街
崇仁路1段,2.25,1,12.50%,中央南路1段,磺港路
大安路二段,145.8526786,1.691236204,19.10%,信義路,復興南路151巷
大安路一段,54.6877602,1.670512365,22.60%,市民大道,仁愛路
大道路,66.1008807,1.847861788,17.00%,忠孝東路五段,福德街
大東路,23.45090909,1.864865735,28.10%,文林路,小北街
大湖山莊街,354.6666667,1.786302781,6.80%,大湖山莊街243巷,成功路5段
大佳公園八號水門堤外平面大車停車場,90.87971698,0.308810801,1.20%,,
大佳公園八號水門堤外平面小車停車場,372.9487179,0.303134271,1.30%,,
大佳河濱公園,741.4498044,0.41843698,0.30%,基隆河大佳段,
大龍街,37.38505747,1.390933484,18.90%,民族西路,大龍街215巷
大南路(含285巷),5.544827586,1.574652322,31.10%,承德路四段,通河東街ㄧ段
大業路,418.5,1,1.60%,中和街,大度路1段
大業路,418.5,1,1.60%,承德路七段,中和街
大業路,418.5,1,1.60%,泉源路,承德路7段
