Road,停留時間(小時),使用率,,,,,
 立功路,3.25,35.90%,,,,,
愛國東路,1.51,15.30%,,,,,
愛國西路,1.80,34.30%,,,,,
安東街,1.73,30.70%,,,,,
安東街16巷,2.05,14.20%,,,,,
安東街40巷,2.08,24.60%,,,,,
安和路二段,2.14,22.70%,,,,,
安和路二段74巷,2.03,30.10%,,,,,
安和路一段127巷含29弄,2.16,13.60%,,,,,
安和路一段A,2.01,26.70%,,,,,
安和路一段B(累進計時),1.75,29.80%,,,,,
安康平面停車場,1.86,17.70%,,,,,
安美街,1.63,9.50%,,,,,
安西街,1.67,17.20%,,,,,
安祥平面停車場,2.12,40.20%,,,,,
八德路2段174巷含11弄,1.83,12.40%,,,,,
八德路2段199巷,1.68,19.40%,,,,,
八德路2段210巷,1.41,9.50%,,,,,
八德路2段218巷,1.81,13.90%,,,,,
八德路二段167巷,1.81,20.40%,,,,,
八德路二段451巷,1.98,29.70%,,,,,
八德路二段臨時平面,1.96,45.10%,,,,,
八德路二段A,1.60,21.70%,,,,,
八德路二段B,1.19,12.80%,,,,,
八德路三段,1.39,15.10%,,,,,
八德路四段,1.56,19.30%,,,,,
八德路四段17巷,2.47,50.80%,,,,,
八德路一段,0.78,6.10%,,,,,
八德路一段43巷,1.28,8.90%,,,,,
八德路一段43巷(機車),0.81,10.80%,,,,,
八德路一段北側,0.81,12.80%,,,,,
百齡槌球場,0.41,1.30%,,,,,
百齡堤外停車場A,0.42,1.40%,,,,,
百齡堤外停車場B,0.53,1.30%,,,,,
百齡橋堤外足球場,1.00,20.20%,,,,,
保安街,1.54,21.40%,,,,,
寶興街,1.93,19.00%,,,,,
北安路,1.16,22.70%,,,,,
北安路458巷41弄,1.48,21.00%,,,,,
北安路458巷47弄,1.51,14.50%,,,,,
北安路554巷,1.36,28.00%,,,,,
北安路770巷,1.88,9.60%,,,,,
北寧路,1.99,54.60%,,,,,
北平東路,1.77,11.60%,,,,,
北平西路（逸仙公園南側）,1.00,5.90%,,,,,
北平西路A,1.00,8.20%,,,,,
北投磺港溪廣場,1.03,31.00%,,,,,
北投路1段,1.00,5.00%,,,,,
北投路2段,1.00,5.80%,,,,,
濱江街,1.51,8.90%,,,,,
濱江街路邊停車場,0.79,1.20%,,,,,
濱江街路邊停車場A,0.78,3.30%,,,,,
濱江橋下停車場,2.13,13.80%,,,,,
博愛路A（計時）,1.40,19.70%,,,,,
博愛路B（含機車）,1.02,11.20%,,,,,
博愛路C（累進計時）,1.46,9.20%,,,,,
昌吉街,1.62,17.50%,,,,,
常德街（機車計次）,1.00,32.10%,,,,,
潮州街,1.94,24.50%,,,,,
成都路A,2.37,23.80%,,,,,
成都路B,1.01,19.00%,,,,,
成福路,2.23,17.50%,,,,,
成功路1段,1.84,7.30%,,,,,
成功路2段,1.77,17.30%,,,,,
成功路3段,1.78,11.30%,,,,,
成功路三段,1.48,38.00%,,,,,
成功路四段,1.45,10.90%,,,,,
成功路五段,1.56,11.00%,,,,,
承德堤外,0.29,0.80%,,,,,
承德路二段75巷,2.53,27.40%,,,,,
承德路二段91巷,2.45,34.80%,,,,,
承德路二段A,1.22,9.90%,,,,,
承德路二段B,0.96,12.40%,,,,,
承德路六段,0.40,1.40%,,,,,
承德路七段,0.37,2.00%,,,,,
承德路三段,1.34,12.80%,,,,,
承德路三段208巷,1.54,20.20%,,,,,
承德路三段283巷,1.47,30.50%,,,,,
承德路三段285巷,1.96,15.10%,,,,,
承德路四段179巷含機車,1.16,10.80%,,,,,
承德路四段195巷含機車,1.28,15.50%,,,,,
承德路四段58巷,1.88,16.50%,,,,,
承德路四段77巷,1.09,17.70%,,,,,
承德路四段A,1.54,15.50%,,,,,
承德路四段B含機車,1.47,14.00%,,,,,
承德路一段,0.08,1.00%,,,,,
崇德街,2.08,30.00%,,,,,
崇仁路1段,1.00,12.50%,,,,,
大安路二段,1.69,19.10%,,,,,
大安路一段,1.67,22.60%,,,,,
大道路,1.85,17.00%,,,,,
大東路,1.86,28.10%,,,,,
大湖山莊街,1.79,6.80%,,,,,
大佳公園八號水門堤外平面大車停車場,0.31,1.20%,,,,,
大佳公園八號水門堤外平面小車停車場,0.30,1.30%,,,,,
大佳河濱公園,0.42,0.30%,,,,,
